measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Brunei,Both,All Ages,All causes,Rate,2017,433.58231540472383,463.23218571011887,406.7634038859266
Deaths,Denmark,Both,All Ages,All causes,Number,2017,54215.63603208739,56815.50856621703,51631.033160663115
Deaths,Denmark,Both,All Ages,All causes,Rate,2017,945.7956262592618,991.1505875135383,900.7070453568163
Deaths,Solomon Islands,Both,All Ages,All causes,Number,2017,4131.793572014238,4590.2689250795975,3712.6448180928355
Deaths,Solomon Islands,Both,All Ages,All causes,Rate,2017,648.0159977488034,719.9216624877724,582.2781787499868
Deaths,Finland,Both,All Ages,All causes,Number,2017,55071.11546341427,57861.19593692327,52675.41979439616
Deaths,Finland,Both,All Ages,All causes,Rate,2017,998.0307434175996,1048.594202424002,954.6145549232738
Deaths,Mali,Both,All Ages,All causes,Number,2017,186241.76543868342,212949.62305810486,164660.81131899127
Deaths,Mali,Both,All Ages,All causes,Rate,2017,919.5431812506749,1051.4095663330177,812.9901792486608
Deaths,Equatorial Guinea,Both,All Ages,All causes,Number,2017,7261.563150108964,9445.491867970555,5560.9649844967425
Deaths,Equatorial Guinea,Both,All Ages,All causes,Rate,2017,539.880760628605,702.2509105515012,413.44514171361175
Deaths,Malta,Both,All Ages,All causes,Number,2017,3991.2084529328486,4144.223475735565,3839.2401711172924
Deaths,Malta,Both,All Ages,All causes,Rate,2017,918.633494242939,953.8520819780975,883.6558288604813
Deaths,Albania,Both,All Ages,All causes,Number,2017,21756.81898234015,25052.520397366632,18729.137920423556
Deaths,Albania,Both,All Ages,All causes,Rate,2017,786.5346463748128,905.6781364745792,677.0804078989028
Deaths,Ecuador,Both,All Ages,All causes,Number,2017,87369.65924199428,94465.7477151675,81318.9898032121
Deaths,Ecuador,Both,All Ages,All causes,Rate,2017,523.6046272497141,566.1313441004187,487.34308584516657
Deaths,Somalia,Both,All Ages,All causes,Number,2017,145655.6972516684,185438.5403527887,115653.8958927026
Deaths,Somalia,Both,All Ages,All causes,Rate,2017,862.8694485339197,1098.5444034823904,685.1377272068395
Deaths,Kiribati,Both,All Ages,All causes,Number,2017,1009.1966198917165,1124.7328375782179,905.4238728137601
Deaths,Kiribati,Both,All Ages,All causes,Rate,2017,853.5113921284849,951.2242421868265,765.7473032703514
Deaths,Bosnia and Herzegovina,Both,All Ages,All causes,Number,2017,37010.538309829964,38824.73010360598,35353.53020382553
Deaths,Bosnia and Herzegovina,Both,All Ages,All causes,Rate,2017,1088.7887934099056,1142.1593139255442,1040.0423568867773
Deaths,Tajikistan,Both,All Ages,All causes,Number,2017,47993.986299694094,51392.15732993873,44708.93217709076
Deaths,Tajikistan,Both,All Ages,All causes,Rate,2017,519.2065642928328,555.968518060861,483.6683271924115
Deaths,Macedonia,Both,All Ages,All causes,Number,2017,19110.9933600096,19949.71099369903,18281.85794826319
Deaths,Macedonia,Both,All Ages,All causes,Rate,2017,878.7357284657915,917.3005030399584,840.6115506005852
Deaths,Marshall Islands,Both,All Ages,All causes,Number,2017,415.0576149167002,462.95560796880915,370.680547167501
Deaths,Marshall Islands,Both,All Ages,All causes,Rate,2017,737.0854897949042,822.1457667304144,658.2778940731762
Deaths,Turkmenistan,Both,All Ages,All causes,Number,2017,32991.733266170326,35127.25383967884,31167.372100432032
Deaths,Turkmenistan,Both,All Ages,All causes,Rate,2017,662.8994948230304,705.8082895184145,626.242794025114
Deaths,Norway,Both,All Ages,All causes,Number,2017,41374.29078124939,41986.74055143308,40757.94042621952
Deaths,Norway,Both,All Ages,All causes,Rate,2017,786.1085445208207,797.7450460375896,774.3979321729477
Deaths,Sierra Leone,Both,All Ages,All causes,Number,2017,71226.98389512354,80326.34212348297,63054.24482060783
Deaths,Sierra Leone,Both,All Ages,All causes,Rate,2017,909.6969086162709,1025.9121068186655,805.316306428181
Deaths,Togo,Both,All Ages,All causes,Number,2017,50468.384006369786,56805.953783725425,45048.10025437589
Deaths,Togo,Both,All Ages,All causes,Rate,2017,671.476594695885,755.7973007483939,599.360283707703
Deaths,Japan,Both,All Ages,All causes,Number,2017,1371733.9062380062,1396464.3433985417,1347734.871751767
Deaths,Japan,Both,All Ages,All causes,Rate,2017,1068.6343855743305,1087.9003637643054,1049.9381986856376
Deaths,Hungary,Both,All Ages,All causes,Number,2017,122036.08252670435,127406.58252544724,117082.59642837752
Deaths,Hungary,Both,All Ages,All causes,Rate,2017,1254.5647560103525,1309.7749846663087,1203.6415458443087
Deaths,Italy,Both,All Ages,All causes,Number,2017,622129.8343606984,649341.8584108629,594419.1650929704
Deaths,Italy,Both,All Ages,All causes,Rate,2017,1026.6595815243988,1071.565779042611,980.9305028934072
Deaths,Mauritania,Both,All Ages,All causes,Number,2017,20049.9670862653,22188.19951776484,17923.93965734907
